华为投资控股有限公司	251	中铁第四勘察设计院集团有限公司
100	睿力集成电路有限公司	350	深圳市海柔创新科技有限公司
101	北京汽车集团有限公司	351	南京钢铁集团有限公司
102	三一重工股份有限公司	352	中国钢研科技集团有限公司
103	浙江舜宇光学有限公司	353	中国印钞造币集团有限公司
104	蜂巢能源科技股份有限公司	354	海洋石油工程股份有限公司
105	中航工业机电系统股份有限公司	355	安徽配天投资集团有限公司
106	中航航空电子系统股份有限公司	356	北京地平线信息技术有限公司
107	北京北方华创微电子装备有限公司	357	曙光信息产业股份有限公司
108	中国航天三江集团有限公司	358	中国通信服务股份有限公司
109	辰瑞光学（常州）股份有限公司	359	广东格兰仕集团有限公司
110	金发科技股份有限公司	360	云南恩捷新材料股份有限公司
111	江苏恒瑞医药股份有限公司	361	内蒙古蒙牛乳业（集团）股份有限公司
112	中创新航科技集团股份有限公司	362	普天信息技术有限公司
113	四川长虹电器股份有限公司	363	中车长江运输设备集团有限公司
114	浙江苏泊尔股份有限公司	364	信利光电股份有限公司
115	万华化学集团股份有限公司	365	泸东中华造船（集团）有限公司
116	广东小鹏汽车科技有限公司	366	立达信物联科技股份有限公司
117	中国建筑第八工程局有限公司	367	东莞东阳光科研发有限公司
118	深圳市汇顶科技股份有限公司	368	珠海新火科技有限公司
119	上海航天设备制造总厂有限公司	369	超威电源集团有限公司
120	中国船舶重工股份有限公司	370	捷开通讯（深圳）有限公司
121	江西洪都航空工业集团有限责任公司	371	中移（杭州）信息技术有限公司
122	中国华能集团有限公司	372	长江设计集团有限公司
123	中交第一航务工程局有限公司	373	中车永济电机有限公司
124	深圳迈瑞生物医疗电子股份有限公司	374	赛力斯集团股份有限公司
125	上海建工控股集团有限公司	375	博奥生物集团有限公司
126	中联重科股份有限公司	376	中铁大桥局集团有限公司
127	北京北斗星通导航技术股份有限公司	377	太原重工股份有限公司
128	河钢集团有限公司	378	上海安翰医疗技术有限公司
129	中国民航信息网络股份有限公司	379	海光信息技术股份有限公司
130	华帝股份有限公司	380	云南云天化股份有限公司
131	科大讯飞股份有限公司	381	华能澜沧江水电股份有限公司
132	蓝箭航天空间科技股份有限公司	382	中国西电电气股份有限公司
133	北京千方科技股份有限公司	383	上海哔哩哔哩科技有限公司
134	武汉斗鱼网络科技有限公司	384	深圳市汇川技术股份有限公司
135	林芝利创信息技术有限公司	385	京东云计算有限公司
136	广西玉柴机器股份有限公司	386	广州金升阳科技有限公司
137	同方股份有限公司	387	矽力杰半导体技术（杭州）有限公司
138	同方威视技术股份有限公司	388	北京四维图新科技股份有限公司
139	正大天晴药业集团股份有限公司	389	利亚德光电股份有限公司
140	西安航空制动科技有限公司	390	上海蔚来汽车有限公司
141	京信网络系统股份有限公司	391	大亚湾核电运营管理有限责任公司
142	东莞步步高教育科技有限公司	392	深圳市沃特沃德股份有限公司
143	中交第三航务工程局有限公司	393	中国移动通信集团设计院有限公司
144	中交天津航道局有限公司	394	北京天融信科技有限公司
